,Match_Id,Team_Batting_Id,Striker_Id,Runs_Scored
104,335994,3,18,81
105,335994,3,19,5
106,335994,3,20,30
107,335994,3,21,53
108,335994,3,22,5
109,335994,3,23,2
110,335994,7,43,2
111,335994,7,44,20
112,335994,7,46,43
113,335994,7,48,45
114,335994,7,49,17
115,335994,7,50,28
116,335994,7,71,24
117,335994,7,72,9
118,335994,7,73,1
119,335995,5,31,61
120,335995,5,32,4
121,335995,5,33,34
122,335995,5,35,1
123,335995,5,37,1
124,335995,5,38,22
125,335995,5,69,12
126,335995,5,74,71
127,335995,5,75,4
128,335995,8,53,13
129,335995,8,55,16
130,335995,8,56,117
131,335995,8,57,36
132,335995,8,70,10
133,335995,8,232,16
134,335996,4,24,18
135,335996,4,26,94
136,335996,4,27,18
137,335996,4,29,6
138,335996,4,64,12
139,335996,4,65,0
140,335996,4,66,16
141,335996,4,67,0
142,335996,4,76,7
143,335996,4,77,0
144,335996,4,78,4
145,335996,7,43,11
146,335996,7,44,1
147,335996,7,46,21
148,335996,7,48,2
149,335996,7,49,22
150,335996,7,50,0
151,335996,7,71,23
152,335996,7,72,8
153,335996,7,73,2
154,335996,7,79,17
155,335996,7,80,2
156,335997,2,6,0
157,335997,2,8,13
158,335997,2,9,11
159,335997,2,11,4
160,335997,2,14,34
161,335997,2,15,17
162,335997,2,16,3
163,335997,2,51,2
164,335997,2,52,44
165,335997,2,81,1
166,335997,5,31,21
167,335997,5,32,61
168,335997,5,33,4
169,335997,5,36,0
170,335997,5,74,49
171,335998,1,1,12
172,335998,1,2,24
173,335998,1,3,0
174,335998,1,4,0
175,335998,1,5,16
176,335998,1,62,27
177,335998,1,63,42
178,335998,1,82,11
179,335998,1,83,3
180,335998,1,84,4
181,335998,3,17,21
182,335998,3,18,70
183,335998,3,20,43
184,335999,7,43,13
185,335999,7,44,18
186,335999,7,46,6
187,335999,7,48,34
188,335999,7,49,31
189,335999,7,71,34
190,335999,7,72,7
191,335999,7,85,0
192,335999,8,53,109
193,335999,8,55,37
194,336000,4,24,1
195,336000,4,26,4
196,336000,4,27,40
197,336000,4,28,75
198,336000,4,29,10
199,336000,4,64,15
200,336000,4,66,1
201,336000,4,92,7
202,336000,6,40,18
203,336000,6,41,6
204,336000,6,42,0
205,336000,6,86,19
206,336000,6,87,39
207,336000,6,88,24
208,336000,6,89,17
209,336000,6,90,18
210,336000,6,91,6
211,336001,2,6,0
212,336001,2,7,50
213,336001,2,8,12
214,336001,2,9,14
215,336001,2,11,4
216,336001,2,12,2
217,336001,2,14,6
218,336001,2,15,8
219,336001,2,52,53
220,336001,2,93,8
221,336001,2,94,1
222,336001,3,17,21
223,336001,3,18,13
224,336001,3,19,47
225,336001,3,20,65
226,336001,3,21,28
227,336002,1,1,4
228,336002,1,2,1
229,336002,1,3,19
230,336002,1,4,17
231,336002,1,5,2
232,336002,1,63,40
233,336002,1,82,2
234,336002,1,83,10
235,336002,1,95,29
236,336002,7,44,18
237,336002,7,46,37
238,336002,7,71,64
239,336002,7,85,4
240,336002,7,96,0
241,336003,2,6,38
242,336003,2,7,10
243,336003,2,8,1
244,336003,2,9,54
245,336003,2,11,31
246,336003,2,14,6
247,336003,2,52,29
248,336003,6,40,86
249,336003,6,41,24
250,336003,6,42,50
251,336003,6,86,6
252,336003,6,87,11
253,336003,6,88,2
254,336003,6,89,8
255,336004,4,26,3
256,336004,4,27,14
257,336004,4,64,45
258,336004,4,76,15
259,336004,4,100,84
260,336004,8,53,6
261,336004,8,54,1
262,336004,8,55,48
263,336004,8,57,76
264,336004,8,59,3
265,336004,8,61,2
266,336004,8,70,13
267,336004,8,97,7
268,336004,8,98,1
269,336004,8,99,3
270,336005,1,1,51
271,336005,1,4,42
272,336005,1,62,1
273,336005,1,63,2
274,336005,1,82,20
275,336005,1,84,1
276,336005,1,95,11
277,336005,1,103,7
278,336005,1,104,1
279,336005,1,105,2
280,336005,1,106,1
281,336005,5,31,55
282,336005,5,32,0
283,336005,5,33,21
284,336005,5,35,33
285,336005,5,36,1
286,336005,5,38,7
287,336005,5,74,2
288,336005,5,101,60
289,336005,5,102,3
290,336006,3,17,21
291,336006,3,20,32
292,336006,3,21,3
293,336006,3,23,11
294,336006,3,107,13
295,336006,3,108,54
296,336006,3,109,28
297,336006,6,40,50
298,336006,6,41,71
299,336006,6,42,19
300,336006,6,110,26
301,336007,2,6,31
302,336007,2,7,5
303,336007,2,8,9
304,336007,2,9,31
305,336007,2,10,31
306,336007,2,12,27
307,336007,2,113,34
308,336007,8,53,46
309,336007,8,54,26
310,336007,8,57,17
311,336007,8,60,0
312,336007,8,61,1
313,336007,8,97,47
314,336007,8,111,0
315,336007,8,112,7
316,336007,8,232,8
317,336008,1,1,5
318,336008,1,4,71
319,336008,1,5,13
320,336008,1,62,59
321,336008,1,63,7
322,336008,1,82,1
323,336008,1,95,5
324,336008,1,104,1
325,336008,4,24,6
326,336008,4,25,18
327,336008,4,26,28
328,336008,4,27,17
329,336008,4,29,24
330,336008,4,64,10
331,336008,4,67,21
332,336008,4,100,40
333,336009,6,40,1
334,336009,6,41,40
335,336009,6,42,1
336,336009,6,86,24
337,336009,6,88,28
338,336009,6,89,9
339,336009,6,91,3
340,336009,6,110,21
341,336009,6,116,2
342,336009,6,117,0
343,336009,6,118,0
344,336009,7,44,34
345,336009,7,45,30
346,336009,7,46,22
347,336009,7,48,2
348,336009,7,49,33
349,336009,7,71,2
350,336009,7,79,9
351,336009,7,114,14
352,336009,7,115,6
353,336010,3,17,0
354,336010,3,20,1
355,336010,3,21,27
356,336010,3,23,15
357,336010,3,107,0
358,336010,3,108,5
359,336010,3,109,42
360,336010,3,119,0
361,336010,3,120,1
362,336010,3,121,0
363,336010,3,122,11
364,336010,5,31,8
365,336010,5,32,14
366,336010,5,74,35
